TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ABCB4;14,69;5,24;7,55;0,74;0,08;64,72;51,16;28,90;4,26;4,26;;;2,18;1,07;-0,09;2,41;9,87;1,00;;0,10;0,90;0,03;1,17;-2,60;12.647.265,61;19,72;1,95;0,56;3.323.524.734,60
ABEV3;16,54;2,97;17,84;3,29;2,09;52,59;28,38;21,91;13,77;13,10;-0,61;-0,15;3,91;66,40;-2,83;1,14;18,47;11,71;19,69;0,63;0,36;0,53;4,56;-1,85;357.549.612,79;5,01;0,93;0,28;258.474.694.301,90
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;7,59;;51,09;5,78;2,37;10,44;8,04;4,18;26,55;29,39;2,91;0,63;2,14;6,07;-6,15;2,73;11,30;4,63;10,16;0,41;0,59;1,11;;;28.336.613,64;1,31;0,15;12,88;5.746.600.920,00
AESB3;13,63;1,69;234,68;3,03;0,53;32,59;24,35;4,13;39,83;74,27;34,74;2,64;9,70;14,33;-0,62;1,35;1,29;0,23;1,54;0,18;0,74;0,05;;;10.134.155,18;4,50;0,06;;5.395.920.150,40
AFLT3;8,75;7,01;27,95;3,21;2,92;70,12;56,15;53,65;26,70;26,12;-0,58;-0,07;15,00;16,13;-3,67;8,22;11,50;10,43;11,06;0,91;0,09;0,19;5,56;8,17;23.682,19;2,72;0,31;-1,65;551.991.125,00
AGRO3;25,37;2,80;21,73;1,50;0,91;46,45;39,31;7,58;4,19;4,63;0,46;0,16;1,65;5,65;-1,58;1,61;6,90;4,18;22,82;0,61;0,39;0,55;13,49;-7,94;15.317.060,24;16,91;1,17;-0,67;2.568.639.130,72
AGXY3;7,08;;-18,80;1,22;0,27;-2,68;-12,69;-4,10;-6,07;-10,08;-3,99;0,80;0,77;10,40;-1,05;1,04;-6,51;-1,43;-10,47;0,22;0,78;0,35;;;10.639.797,39;5,79;-0,38;;1.195.774.923,00
AHEB3;25,25;;-4,13;-5,05;0,77;21,97;-15,75;-26,33;-6,90;-6,91;0,11;;1,09;-3,00;-0,97;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;24.509,00;-5,00;-6,11;-0,10;219.303.769,75
AHEB5;19,99;;-3,27;-3,99;0,61;21,97;-15,75;-26,33;-5,47;-6,91;0,11;;0,86;-2,38;-0,77;0,44;-122,15;-18,70;73,09;-0,15;1,15;0,71;1,88;;4.002,33;-5,00;-6,11;-0,08;219.303.769,75
